id,data_venda,preco,quartos,banheiros,m2_construido_total,m2_terreno_total,andares,beira-mar,vista_geral,condicao,nivel_construcao,m2_construidos_chao,m2_porao,ano_construído,ano_reformado,cep,latitude,longitude,construcao_1955,sem_porao,ano_venda,mes_venda,estacoes,boa_condicao,bom_nivel_construcao
7129300520,2014-10-13,221900.0,3,1.0,109.63,524.9,1.0,0,0,3,7,109.63,0.0,1955,0,98178,47.5112,-122.257,0,0,2014,10,outono,0,0
6414100192,2014-12-09,538000.0,3,2.25,238.76,672.8,2.0,0,0,3,7,201.6,37.16,1951,1991,98125,47.721,-122.319,1,1,2014,12,inverno,0,0
5631500400,2015-02-25,180000.0,2,1.0,71.54,929.03,1.0,0,0,3,6,71.54,0.0,1933,0,98028,47.7379,-122.233,1,0,2015,2,inverno,0,0
2487200875,2014-12-09,604000.0,4,3.0,182.09,464.52,1.0,0,0,5,7,97.55,84.54,1965,0,98136,47.5208,-122.393,0,1,2014,12,inverno,1,0
1954400510,2015-02-18,510000.0,3,2.0,156.08,750.66,1.0,0,0,3,8,156.08,0.0,1987,0,98074,47.6168,-122.045,0,0,2015,2,inverno,0,0
7237550310,2014-05-12,1225000.0,4,4.5,503.53,9469.61,1.0,0,0,3,11,361.39,142.14,2001,0,98053,47.6561,-122.005,0,1,2014,5,primavera,0,1
1321400060,2014-06-27,257500.0,3,2.25,159.33,633.51,2.0,0,0,3,7,159.33,0.0,1995,0,98003,47.3097,-122.327,0,0,2014,6,verao,0,0
2008000270,2015-01-15,291850.0,3,1.5,98.48,902.18,1.0,0,0,3,7,98.48,0.0,1963,0,98198,47.4095,-122.315,0,0,2015,1,inverno,0,0
2414600126,2015-04-15,229500.0,3,1.0,165.37,693.99,1.0,0,0,3,7,97.55,67.82,1960,0,98146,47.5123,-122.337,0,1,2015,4,primavera,0,0
3793500160,2015-03-12,323000.0,3,2.5,175.59,609.44,2.0,0,0,3,7,175.59,0.0,2003,0,98038,47.3684,-122.031,0,0,2015,3,primavera,0,0
1736800520,2015-04-03,662500.0,3,2.5,330.73,910.08,1.0,0,0,3,8,172.8,157.94,1965,0,98007,47.6007,-122.145,0,1,2015,4,primavera,0,0
9212900260,2014-05-27,468000.0,2,1.0,107.77,557.42,1.0,0,0,4,7,79.9,27.87,1942,0,98115,47.69,-122.292,1,1,2014,5,primavera,1,0
114101516,2014-05-28,310000.0,3,1.0,132.85,1848.86,1.5,0,0,4,7,132.85,0.0,1927,0,98028,47.7558,-122.229,1,0,2014,5,primavera,1,0
6054650070,2014-10-07,400000.0,3,1.75,127.28,899.3,1.0,0,0,4,7,127.28,0.0,1977,0,98074,47.6127,-122.045,0,0,2014,10,outono,1,0
1175000570,2015-03-12,530000.0,5,2.0,168.15,450.58,1.5,0,0,3,7,168.15,0.0,1900,0,98107,47.67,-122.394,1,0,2015,3,primavera,0,0
9297300055,2015-01-24,650000.0,4,3.0,274.06,464.52,2.0,0,3,3,9,183.95,90.12,1979,0,98126,47.5714,-122.375,0,1,2015,1,inverno,0,0
1875500060,2014-07-31,395000.0,3,2.0,175.59,1304.36,2.0,0,0,3,7,175.59,0.0,1994,0,98019,47.7277,-121.962,0,0,2014,7,verao,0,0
6865200140,2014-05-29,485000.0,4,1.0,148.64,399.48,1.5,0,0,4,7,148.64,0.0,1916,0,98103,47.6648,-122.343,1,0,2014,5,primavera,1,0
16000397,2014-12-05,189000.0,2,1.0,111.48,915.09,1.0,0,0,4,7,111.48,0.0,1921,0,98002,47.3089,-122.21,1,0,2014,12,inverno,1,0
7983200060,2015-04-24,230000.0,3,1.0,116.13,908.03,1.0,0,0,4,7,116.13,0.0,1969,0,98003,47.3343,-122.306,0,0,2015,4,primavera,1,0
6300500875,2014-05-14,385000.0,4,1.75,150.5,462.66,1.0,0,0,4,7,79.9,70.61,1947,0,98133,47.7025,-122.341,1,1,2014,5,primavera,1,0
2524049179,2014-08-26,2000000.0,3,2.75,283.35,4168.28,1.0,0,4,3,9,216.46,66.89,1968,0,98040,47.5316,-122.233,0,1,2014,8,verao,0,0
7137970340,2014-07-03,285000.0,5,2.5,210.89,585.29,2.0,0,0,3,8,210.89,0.0,1995,0,98092,47.3266,-122.169,0,0,2014,7,verao,0,0
8091400200,2014-05-16,252700.0,2,1.5,99.41,895.86,1.0,0,0,3,7,99.41,0.0,1985,0,98030,47.3533,-122.166,0,0,2014,5,primavera,0,0
3814700200,2014-11-20,329000.0,3,2.25,227.61,603.87,2.0,0,0,4,8,227.61,0.0,1985,0,98030,47.3739,-122.172,0,0,2014,11,outono,1,0
1202000200,2014-11-03,233000.0,3,2.0,158.86,436.37,1.5,0,0,5,6,158.86,0.0,1941,0,98002,47.3048,-122.218,1,0,2014,11,outono,1,0
